Bife grelhado ao molho de ervas|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife grelhado ao molho de maionese|bovina|ao molho gorduroso|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Misto
Bife grelhado ao molho especial|bovina|ao molho gorduroso|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife grelhado ao molho madeira|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife grelhado ao molho roti|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife grelhado ao molho roty|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife grelhado com molho argentino|bovina|ao molho gorduroso|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife grelhado com molho de azeitonas|bovina|ao molho gorduroso|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife grelhado com molho de champignon|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife grelhado com molho de cogumelos|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife grelhado com molho especial|bovina|ao molho gorduroso|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife grelhado com molho madeira|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife grelhado com molho roti|bovina|ao molho leve|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife ouro branco (miolo de alcatra)|bovina|frito|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Bife suíno ao m. roty (pernil)|suína|ao molho leve|pernil|Marrom/Bege
Bisteca acebolada|suína|frito|copa lombo, lombo|Marrom/Bege
Bisteca ao molho barbecue|suína|ao molho leve|copa lombo, lombo|Marrom/Bege
Bisteca ao molho de abacaxi|suína|ao molho leve|copa lombo, lombo|Marrom/Bege
Bisteca ao molho de limão|suína|ao molho leve|copa lombo, lombo|Marrom/Bege
Bisteca ao molho madeira|suína|ao molho leve|copa lombo, lombo|Marrom/Bege
Bisteca assada|suína|assado|copa lombo, lombo|Marrom/Bege
Bisteca suína|suína|assado|copa lombo, lombo|Marrom/Bege
Bisteca suína acebolada|suína|grelhado/refogado|copa lombo, lombo|Marrom/Bege
Bisteca suína ao molho de limão|suína|ao molho leve|copa lombo, lombo|Marrom/Bege
Bisteca suína com molho barbecue|suína|ao molho leve|copa lombo, lombo|Marrom/Bege
Bobó de frango|ave|grelhado/refogado|Filé de peito de frango sem pele e sem osso|Marrom/Bege
Bobó de frango (contém lactose)|ave|grelhado/refogado|Filé de peito de frango sem pele e sem osso|Marrom/Bege
Bolo de carne moída|bovina|grelhado/refogado|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Calabresa acebolada|processada|frito|linguiça|Vermelho
Calabresa ao molho sugo|processada|ao molho leve|linguiça|Vermelho
Carne à chinesa|bovina|grelhado/refogado|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Misto
Carne à oriental|bovina|grelhado/refogado|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Carne assada|bovina|assado|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
Carne assada (lagarto)|bovina|assado|alcatra, almôndega, bife de contra filé, bife de patinho, coxão duro, lagarto, patinho/coxão mole|Marrom/Bege
